Time,si_T_psm1,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,si_T_psm3,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,si_T_ecm,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,joint_vars_psm1,q1,q2,q3,q4,q5,q6,jaw,joint_vars_psm3,q1,q2,q3,q4,q5,q6,jaw
lci_T_si
,,-0.070212275,0.063258044,0.58671486,0.9998192,-0.00075042783,0.018999701,0.0032799556,-0.977436,-0.21120638,0.018729486,0.2112305,-0.97725683
rci_T_si
,,-0.072575554,0.05245142,0.564738,0.99476296,0.010665912,-0.10165086,-0.0036802725,-0.9901574,-0.13990961,-0.10214262,0.139551,-0.9849327
ecm_T_lc
,,0.022782804,0.054864287,-0.33796614,-0.99125,-0.12739496,-0.0345537,0.12872347,-0.990897,-0.03941251,-0.029218202,-0.043515522,0.99862534
ecm_T_rc
,,0.022707665,0.067641795,-0.42994186,-0.99723834,0.02928547,-0.06824988,-0.024871755,-0.9975983,-0.06464576,-0.069979146,-0.06276973,0.9955716
0.023984350031241775,,0.059129164,0.01603691,0.33556995,-0.695145,-0.054253347,-0.7168193,-0.6847521,-0.2535713,0.6832394,-0.21883285,0.96579397,0.13911876,,-0.24089906,0.14866227,0.16436951,0.26874003,-0.8419987,-0.4677787,-0.8906156,-0.40218037,0.21226119,-0.36685508,0.3595679,-0.8579792,,0.07119265,-0.031850252,0.2464735,-0.99214333,0.12465115,-0.010658026,0.117905155,0.96012425,0.25349513,0.041831486,0.2502469,-0.9672779,,-0.5299262070964116,0.020488410315317625,0.14370022795,0.16481629557883615,-0.0057387329901484995,0.977473347029346,-0.06435756205690601,,-1.3817127521918782,0.03015727187384671,0.1408419085,0.08198876790244902,0.003962458493197773,1.151869623860635,0.0728514534958884
0.05063636996783316,,0.059129164,0.01603691,0.33556995,-0.695145,-0.054253347,-0.7168193,-0.6847521,-0.2535713,0.6832394,-0.21883285,0.96579397,0.13911876,,-0.24089906,0.14866227,0.16436951,0.26874003,-0.8419987,-0.4677787,-0.8906156,-0.40218037,0.21226119,-0.36685508,0.3595679,-0.8579792,,0.07119265,-0.031850252,0.2464735,-0.99214333,0.12465115,-0.010658026,0.117905155,0.96012425,0.25349513,0.041831486,0.2502469,-0.9672779,,-0.5299262070964116,0.020488410315317625,0.14370022795,0.16481629557883615,-0.0057387329901484995,0.977473347029346,-0.06435756205690601,,-1.3817127521918782,0.03015727187384671,0.1408419085,0.08198876790244902,0.003962458493197773,1.151869623860635,0.0728514534958884
0.0725259690079838,,0.059129164,0.01603691,0.33556995,-0.695145,-0.054253347,-0.7168193,-0.6847521,-0.2535713,0.6832394,-0.21883285,0.96579397,0.13911876,,-0.24089906,0.14866227,0.16436951,0.26874003,-0.8419987,-0.4677787,-0.8906156,-0.40218037,0.21226119,-0.36685508,0.3595679,-0.8579792,,0.07119265,-0.031850252,0.2464735,-0.99214333,0.12465115,-0.010658026,0.117905155,0.96012425,0.25349513,0.041831486,0.2502469,-0.9672779,,-0.5299262070964116,0.020488410315317625,0.14370022795,0.16481629557883615,-0.0057387329901484995,0.977473347029346,-0.06435756205690601,,-1.3817127521918782,0.03015727187384671,0.1408419085,0.08198876790244902,0.003962458493197773,1.151869623860635,0.0728514534958884
