Time,si_T_psm1,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,si_T_psm3,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,si_T_ecm,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,joint_vars_psm1,q1,q2,q3,q4,q5,q6,jaw,joint_vars_psm3,q1,q2,q3,q4,q5,q6,jaw
lci_T_si
,,-0.070839226,0.0633796,0.58980376,0.99993247,0.0063197804,-0.009754879,0.00423926,-0.97974813,-0.20018896,-0.010822475,0.2001341,-0.97970873
rci_T_si
,,-0.07230388,0.05178487,0.5613385,0.9998141,0.0023921218,-0.019133728,-0.0004875692,-0.9888218,-0.14910114,-0.019276517,0.14908275,-0.9886368
ecm_T_lc
,,0.022782804,0.054864287,-0.33796614,-0.99125,-0.12739496,-0.0345537,0.12872347,-0.990897,-0.03941251,-0.029218202,-0.043515522,0.99862534
ecm_T_rc
,,0.022707665,0.067641795,-0.42994186,-0.99723834,0.02928547,-0.06824988,-0.024871755,-0.9975983,-0.06464576,-0.069979146,-0.06276973,0.9955716
0.028926516184583306,,0.069174,0.01985266,0.33660892,-0.69629174,-0.024553448,-0.71733886,-0.6917956,-0.2434143,0.6798296,-0.1913027,0.96961164,0.15250137,,-0.23647355,0.14870067,0.17271361,0.26440933,-0.82844615,-0.49372524,-0.89266014,-0.40400472,0.1998448,-0.36502796,0.38788804,-0.84634364,,0.07902001,-0.028993782,0.24771664,-0.99134105,0.125007,-0.04020166,0.11170112,0.9637474,0.24230926,0.069034584,0.23572053,-0.96936584,,-0.5297949206375498,0.020503855781066074,0.14369504279,0.16481629557883615,-0.0057387329901484995,0.977636704509627,-0.06403087392463735,,-1.3817127521918782,0.030164994606720934,0.14084061221000002,0.08219845784593355,0.004235731492728653,1.1518101455335232,0.07252476536362007
0.06765270605683327,,0.06917262,0.019852199,0.33660927,-0.6962884,-0.02454371,-0.71734244,-0.6918007,-0.2434135,0.6798247,-0.1912962,0.9696121,0.15250659,,-0.23647745,0.14869596,0.17271346,0.2644054,-0.8284442,-0.49373078,-0.8926636,-0.40400013,0.19983858,-0.36502236,0.38789716,-0.8463419,,0.07902001,-0.028993782,0.24771664,-0.99134105,0.125007,-0.04020166,0.11170112,0.9637474,0.24230926,0.069034584,0.23572053,-0.96936584,,-0.5297871979046755,0.02049613304819185,0.14369504279,0.16481629557883615,-0.0057387329901484995,0.977636704509627,-0.06403087392463735,,-1.3817050294590039,0.03015727187384671,0.14084061221000002,0.08219845784593355,0.004235731492728653,1.1518101455335232,0.07252476536362007
