Time,si_T_psm1,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,si_T_psm3,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,si_T_ecm,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,joint_vars_psm1,q1,q2,q3,q4,q5,q6,jaw,joint_vars_psm3,q1,q2,q3,q4,q5,q6,jaw
lci_T_si
,,-0.039814696,0.038520727,0.34320205,0.9997607,-0.021756286,-0.0022762395,-0.021836635,-0.99875087,-0.044942643,-0.001295611,0.044981595,-0.99898696
rci_T_si
,,-0.048280437,0.0406009,0.45419854,0.9982469,-0.033235703,-0.04897468,-0.03489551,-0.9988315,-0.03343492,-0.047806222,0.0350853,-0.99824023
ecm_T_lc
,,0.15482447,0.9507957,-4.577456,-0.99988085,0.015432724,0.00034810763,-0.015051688,-0.97970253,0.19989099,0.0034259045,0.19986194,0.97981805
ecm_T_rc
,,-0.008239545,0.013894887,-0.24892122,-0.99980205,-0.018179558,0.00808652,0.017913941,-0.9993341,-0.031788383,0.008659034,-0.031637233,0.9994619
0.026639688000159367,,0.18641129,-1.5682348,-3.9727364,-0.5811815,-0.64531165,-0.4957832,-0.8061888,0.53956145,0.2427609,0.11084897,0.54078305,-0.8338262,,0.13452858,-1.5160655,-3.6887739,0.30552873,-0.9396461,0.15400495,-0.875533,-0.34081262,-0.34247425,0.37429136,-0.030200679,-0.9268192,,0.18005978,-1.6303421,-4.0294094,-0.9999795,0.006011908,-0.0022135698,0.0062831366,0.98779786,-0.15561408,0.0012510212,-0.15562476,-0.9878154,,-0.20919338809699353,-0.11125368978607829,0.15482758131000002,-0.00020968994348452436,0.0009564554983580831,0.0006902919966551704,0.0,,-1.5062958789188678,0.04091503876764145,0.0753274119,0.0010484497174226219,-0.5488688195577742,0.4214285223035448,-0.0006533762645371186
0.04701687700026014,,0.18641129,-1.5682348,-3.9727364,-0.5811815,-0.64531165,-0.4957832,-0.8061888,0.53956145,0.2427609,0.11084897,0.54078305,-0.8338262,,0.13452858,-1.5160655,-3.6887739,0.30552873,-0.9396461,0.15400495,-0.875533,-0.34081262,-0.34247425,0.37429136,-0.030200679,-0.9268192,,0.18005978,-1.6303421,-4.0294094,-0.9999795,0.006011908,-0.0022135698,0.0062831366,0.98779786,-0.15561408,0.0012510212,-0.15562476,-0.9878154,,-0.20919338809699353,-0.11125368978607829,0.15482758131000002,-0.00020968994348452436,0.0009564554983580831,0.0006902919966551704,0.0,,-1.5062958789188678,0.04091503876764145,0.0753274119,0.0010484497174226219,-0.5488688195577742,0.4214285223035448,-0.0006533762645371186
