Time,si_T_psm1,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,si_T_psm3,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,si_T_ecm,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,joint_vars_psm1,q1,q2,q3,q4,q5,q6,jaw,joint_vars_psm3,q1,q2,q3,q4,q5,q6,jaw
lci_T_si
0,-0.05302075,0.052371312,0.29498777,0.9948231,-0.101515934,0.0046375627,-0.10089349,-0.9921181,-0.07431096,0.0121447565,0.07345836,-0.99722433
rci_T_si
0,-0.06494534,0.053453855,1.1013877,0.9930256,-0.116793714,0.016107181,-0.11786022,-0.9798788,0.16107939,-0.0030299753,-0.16185434,-0.98681
ecm_T_lc
0,0.82637364,0.89959043,-4.471184,-0.8282249,-0.54140776,0.14464118,0.55436236,-0.82931954,0.07008122,0.08201124,0.13822663,0.9869993
ecm_T_rc
0,-0.10746905,0.019146087,-2.6037304,-0.34537515,0.93471545,0.08380301,-0.9384632,-0.34383708,-0.032600943,-0.0016580217,-0.0899056,0.9959489
0.022525500011397526,,0.503844,-1.4833653,-3.9357073,-0.9543725,-0.0071777143,-0.29853216,-0.12101913,0.9232321,0.36468706,0.2729969,0.38417554,-0.8819761,,,,,,,,,,,,,,,0.47260222,-1.5176111,-4.0524864,-0.76755404,0.636019,0.07962758,0.63184613,0.7716522,-0.07295939,-0.10784838,-0.0056879004,-0.9941511,,1.3343878451386304,-0.26159985338148106,0.15050445416000002,0.5466616826641549,-0.0005465459990617618,-0.00020775830633881223,0.0,,,,,,,,
1.0489233949920163,,0.50383353,-1.4833542,-3.9357076,-0.9543731,-0.007168509,-0.29853034,-0.12101644,0.92322356,0.36470956,0.2729959,0.38419616,-0.8819675,,,,,,,,,,,,,,,0.47261062,-1.5176178,-4.05248,-0.76756006,0.63601166,0.07962698,0.6318388,0.77165824,-0.072958976,-0.107847586,-0.005688984,-0.9941512,,1.3343878451386304,-0.26159985338148106,0.15050445416000002,0.5466616826641549,-0.0005465459990617618,-0.00020775830633881223,0.0,,,,,,,,
