lci_T_si,,,,,-0.078806676,0.00452464,0.33438998,0.9966525,-0.045751315,0.067754425,-0.015703475,-0.92045116,-0.39054194,0.08023245,0.3881706,-0.91808844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rci_T_si,,,,,-0.08983947,0.009858665,0.34597912,0.9956648,-0.0569898,0.07351057,-0.022098947,-0.9126243,-0.40820155,0.09035087,0.40480742,-0.9099273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecm_T_lc,,,,,-4.4071905E-05,-0.000346569,-0.018408367,-0.99912006,0.03075457,0.028518898,-0.03198801,-0.99852574,-0.04385276,0.027128182,-0.044726435,0.9986309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecm_T_rc,,,,,0.00057554984,0.029174112,-0.0048684436,-0.9955508,-0.052743625,-0.07808159,0.04863208,-0.9973746,0.053654663,-0.080706544,0.04961867,0.9955021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cart_T_ecmi,,,,,0.20658258,1.3419913,0.5569026,0.99420214,-0.04727794,-0.096575625,-0.08004408,-0.92512506,-0.3711288,-0.071798325,0.37670738,-0.92354566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecmac_T_ecmrep_psm1,,,,,0.013351295,-0.1340388,-0.3767514,0.9993409,0.017673537,0.03170847,-0.016076513,0.9986232,-0.04993267,-0.032547303,0.049389996,0.9982491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecmac_T_ecmrep_psm3,,,,,-0.010487383,-0.25930798,-0.6568002,0.9989584,-0.045224834,0.006069658,0.044999205,0.99843425,0.03322901,-0.0075629307,-0.03292127,0.99942935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.017449783044867,10:00:39.076890,NaN,0,,0.113638565,-0.03991562,0.032927647,0.59131545,-0.40497908,-0.6973795,-0.4239809,-0.8917225,0.1583392,-0.68599296,0.20204717,-0.6989926,,0.10017988,-0.0006696433,-0.0035388768,-0.63847405,0.10325782,0.76268524,0.21407464,0.97568035,0.047115743,-0.73927194,0.19335374,-0.64505154,,0.20660138,1.3419893,0.5569048,0.9942004,-0.047298063,-0.096583694,-0.08006571,-0.92512405,-0.3711267,-0.071798325,0.37670738,-0.92354566,,-0.06780027,0.12392226,-0.09055066,-0.55524755,0.362576,0.748491,-0.6543353,-0.7459603,-0.12405064,0.51336676,-0.5586429,0.6514389,,-0.02857804,0.25453326,-0.3187271,0.71836597,-0.13931109,-0.68157375,-0.102667235,0.9477848,-0.30193293,0.6880478,0.28687364,0.6665536,,0.937817789314328,-0.133155360217379,0.17200342381,-1.39716409343739,0.686461774821573,0.268622234334761,0.694865657335224,,-0.798144442551103,-0.426603763972162,0.23913309775,1.97527926762422,0.144698053251601,0.147219309221895,0.621524171640932,,-0.129819771424903,-0.40618175017038,0.08760750076,0.052333711583684,,1.8708408E-05,1.9073486E-06,-3.0994415E-06,1,-2.0084903E-05,-8.188188E-06,2.0092353E-05,1,-1.5795231E-06,8.188188E-06,1.5497208E-06,1
0.035152223019395,10:00:39.110346,10:00:32.288338,0,,0.113636196,-0.039942116,0.03294085,0.59131444,-0.40497506,-0.6973826,-0.42399696,-0.89171857,0.15831807,-0.68598396,0.20207241,-0.6989943,,0.1002665,-0.0004504174,-0.0034843683,-0.63826656,0.10332672,0.76284957,0.2136412,0.975801,0.046580255,-0.73957646,0.1927067,-0.64489603,,0.20660138,1.3419893,0.5569048,0.9942004,-0.047298063,-0.096583694,-0.08006571,-0.92512405,-0.3711267,-0.071798325,0.37670738,-0.92354566,,-0.06779962,0.12390287,-0.09057315,-0.55524766,0.36257035,0.7484937,-0.65434664,-0.74594694,-0.12407079,0.5133522,-0.5586643,0.65143204,,-0.028673617,0.254747,-0.31866616,0.7182022,-0.13930464,-0.6817477,-0.103204444,0.9475937,-0.30234918,0.6881384,0.28750724,0.666187,,0.937810066581453,-0.133240310278995,0.17199953494,-1.39716409343739,0.686461774821573,0.268867270555183,0.688658582822121,,-0.798661865653676,-0.426009113540847,0.23914476436,1.97444050785028,0.144561416751836,0.145942188543202,0.712996848676129,,-0.129819771424903,-0.40618175017038,0.08760750076,0.052333711583684,,1.8708408E-05,1.9073486E-06,-3.0994415E-06,1,-2.0084903E-05,-8.188188E-06,2.0092353E-05,1,-1.5795231E-06,8.188188E-06,1.5497208E-06,1
0.068670533015393,10:00:39.130045,10:00:32.288338,0,,0.113634095,-0.039950296,0.032943323,0.5913236,-0.40493655,-0.69739723,-0.4239738,-0.8917347,0.15828897,-0.68599033,0.2020782,-0.6989863,,0.100286484,-0.00039687753,-0.003471911,-0.63815993,0.10353001,0.7629112,0.2136338,0.97581697,0.046278268,-0.7396706,0.19251657,-0.6448449,,0.20660138,1.3419893,0.5569048,0.9942004,-0.047298063,-0.096583694,-0.08006571,-0.92512405,-0.3711267,-0.071798325,0.37670738,-0.92354566,,-0.06779795,0.12389627,-0.09057872,-0.5552557,0.3625311,0.7485067,-0.65432775,-0.7459596,-0.12409461,0.51336765,-0.55867296,0.6514125,,-0.028695693,0.2547989,-0.31865063,0.7181076,-0.1394842,-0.68181056,-0.103260845,0.947508,-0.3025984,0.68822867,0.28770253,0.6660094,,0.937802343848579,-0.133263478477618,0.17199953494,-1.39716409343739,0.686598411321338,0.268674173911346,0.681471443912213,,-0.798800874845412,-0.425800599753243,0.23914735694,1.97444050785028,0.144561416751836,0.144880364921375,0.735211641670391,,-0.129819771424903,-0.40618175017038,0.08760750076,0.052333711583684,,1.8708408E-05,1.9073486E-06,-3.0994415E-06,1,-2.0084903E-05,-8.188188E-06,2.0092353E-05,1,-1.5795231E-06,8.188188E-06,1.5497208E-06,1
0.088386787043419,10:00:39.147644,10:00:32.288338,0,,0.11363128,-0.039959386,0.032951117,0.59129596,-0.40503204,-0.69736516,-0.4240496,-0.89168894,0.15834421,-0.68596727,0.20208916,-0.6990057,,0.100327894,-0.00030000508,-0.0034491718,-0.6400603,0.1044077,0.76119757,0.21306172,0.9759886,0.04528609,-0.7381921,0.19116789,-0.646937,,0.20660138,1.3419893,0.5569048,0.9942004,-0.047298063,-0.096583694,-0.08006571,-0.92512405,-0.3711267,-0.071798325,0.37670738,-0.92354566,,-0.06779596,0.12389088,-0.0905896,-0.5552321,0.3626269,0.7484778,-0.65438884,-0.74591327,-0.12405106,0.51331526,-0.55867267,0.651454,,-0.028740881,0.25489253,-0.3186222,0.7198276,-0.14019845,-0.6798475,-0.10297095,0.9469896,-0.30431503,0.686473,0.28905892,0.66723293,,0.937810066581453,-0.133309814874863,0.17199694236,-1.3969544034939,0.686735047821104,0.268154362306946,0.67640777786205,,-0.79907117049601,-0.425383572178035,0.23915124581,1.97360174807634,0.144698053251601,0.143298729695148,0.773107465013544,,-0.129819771424903,-0.40618175017038,0.08760750076,0.052333711583684,,1.8708408E-05,1.9073486E-06,-3.0994415E-06,1,-2.0084903E-05,-8.188188E-06,2.0092353E-05,1,-1.5795231E-06,8.188188E-06,1.5497208E-06,1
0.105977607017849,10:00:39.169819,10:00:32.288338,0,,0.11362846,-0.039968483,0.032958925,0.59130096,-0.40499133,-0.69738466,-0.42404348,-0.89170027,0.15829656,-0.6859668,0.20212051,-0.69899714,,0.1003661,-0.00022295117,-0.0034227967,-0.63969654,0.10507839,0.761411,0.21308354,0.97602797,0.044324726,-0.738501,0.19059858,-0.6467524,,0.20660138,1.3419893,0.5569048,0.9942004,-0.047298063,-0.096583694,-0.08006571,-0.92512405,-0.3711267,-0.071798325,0.37670738,-0.92354566,,-0.06779397,0.12388548,-0.090600476,-0.5552369,0.36258382,0.74849516,-0.654383,-0.7459116,-0.12409176,0.5133175,-0.5587028,0.6514263,,-0.028783044,0.25497043,-0.3186064,0.7195027,-0.14079754,-0.6800676,-0.103116155,0.9467213,-0.30509967,0.6867918,0.28964597,0.66665006,,0.937810066581453,-0.133363874004983,0.17199434978,-1.39716409343739,0.686735047821104,0.267991004826665,0.670527391481216,,-0.799372357078105,-0.424897040006958,0.2391525421,1.97213391847195,0.143195051754182,0.142890751832998,0.812636729018039,,-0.129819771424903,-0.40618175017038,0.08760750076,0.052333711583684,,1.8708408E-05,1.9073486E-06,-3.0994415E-06,1,-2.0084903E-05,-8.188188E-06,2.0092353E-05,1,-1.5795231E-06,8.188188E-06,1.5497208E-06,1
0.128092485014349,10:00:39.187444,10:00:32.288338,0,,0.11362996,-0.039981797,0.032963082,0.5912905,-0.4050472,-0.6973611,-0.4240772,-0.8916769,0.15833761,-0.68595505,0.20211148,-0.6990114,,0.10040095,-0.00016565621,-0.0033926964,-0.6370694,0.10526089,0.76358545,0.21341503,0.9759921,0.043513656,-0.7406731,0.19068182,-0.64423907,,0.20660138,1.3419893,0.5569048,0.9942004,-0.047298063,-0.096583694,-0.08006571,-0.92512405,-0.3711267,-0.071798325,0.37670738,-0.92354566,,-0.067796156,0.12387479,-0.090609305,-0.55522823,0.3626409,0.74847394,-0.65440965,-0.74589366,-0.1240593,0.51329297,-0.5586898,0.6514569,,-0.02882202,0.25503266,-0.31860328,0.7171466,-0.14098808,-0.68251234,-0.10398324,0.946715,-0.3048249,0.68912137,0.28957397,0.664273,,0.937802343848579,-0.133433378600851,0.1719917572,-1.39737378338087,0.686735047821104,0.267991004826665,0.668403918621471,,-0.799688989125948,-0.424348725972888,0.23915383839,1.97255329835892,0.142785142254885,0.140284570899027,0.855759562477489,,-0.129819771424903,-0.40618175017038,0.08760750076,0.052333711583684,,1.8708408E-05,1.9073486E-06,-3.0994415E-06,1,-2.0084903E-05,-8.188188E-06,2.0092353E-05,1,-1.5795231E-06,8.188188E-06,1.5497208E-06,1
0.14572681003483,10:00:39.210422,10:00:32.288338,0,,0.11362714,-0.039990887,0.032970876,0.59129536,-0.40500653,-0.69738054,-0.42407107,-0.8916882,0.15828995,-0.6859545,0.20214283,-0.69900274,,0.10043476,-0.000134781,-0.0033656955,-0.6366095,0.10597628,0.76387006,0.21334562,0.9760567,0.04238808,-0.7410885,0.18995297,-0.6439766,,0.20660138,1.3419893,0.5569048,0.9942004,-0.047298063,-0.096583694,-0.08006571,-0.92512405,-0.3711267,-0.071798325,0.37670738,-0.92354566,,-0.06779417,0.1238694,-0.09062018,-0.555233,0.36259782,0.7484912,-0.6544038,-0.745892,-0.1241,0.51329523,-0.55871993,0.65142924,,-0.028859224,0.2550701,-0.31860963,0.7167401,-0.14161304,-0.68280995,-0.1042642,0.9463938,-0.30572492,0.68950176,0.29031795,0.6635532,,0.937786898382831,-0.133510605929593,0.17199046091,-1.39737378338087,0.686735047821104,0.267664289866103,0.669547327084411,,-0.799920671112175,-0.423916252931932,0.23915513468,1.97339205813286,0.143331688253947,0.138940433142695,0.88826503163821,,-0.129819771424903,-0.40618175017038,0.08760750076,0.052333711583684,,1.8708408E-05,1.9073486E-06,-3.0994415E-06,1,-2.0084903E-05,-8.188188E-06,2.0092353E-05,1,-1.5795231E-06,8.188188E-06,1.5497208E-06,1
0.168730393052101,10:00:39.229141,10:00:32.288338,0,,0.11362505,-0.039999068,0.032973364,0.5913046,-0.40496802,-0.69739515,-0.4240479,-0.8917045,0.15826087,-0.6859609,0.20214868,-0.6989949,,0.10045783,-0.00012634695,-0.0033458173,-0.6361302,0.10674882,0.7641617,0.21332091,0.97611207,0.04122308,-0.74150705,0.18923488,-0.6437062,,0.20660138,1.3419893,0.5569048,0.9942004,-0.047298063,-0.096583694,-0.08006571,-0.92512405,-0.3711267,-0.071798325,0.37670738,-0.92354566,,-0.0677925,0.1238628,-0.09062576,-0.555241,0.36255854,0.74850434,-0.65438485,-0.7459046,-0.12412382,0.5133107,-0.5587286,0.6514097,,-0.028884603,0.25508505,-0.318621,0.7163141,-0.14229585,-0.68311495,-0.10450817,0.94606537,-0.30665684,0.6899074,0.2910537,0.6628089,,0.937786898382831,-0.133603278724084,0.17198786833,-1.39737378338087,0.686735047821104,0.267745968606244,0.669383983018276,,-0.80011373943403,-0.423553284486843,0.23915643097,1.97318236818937,0.144014870752774,0.139363488505899,0.912766641558352,,-0.129819771424903,-0.40618175017038,0.08760750076,0.052333711583684,,1.8708408E-05,1.9073486E-06,-3.0994415E-06,1,-2.0084903E-05,-8.188188E-06,2.0092353E-05,1,-1.5795231E-06,8.188188E-06,1.5497208E-06,1
0.187483297020663,10:00:39.250709,10:00:32.288338,0,,0.1136183,-0.04000619,0.03297539,0.59130555,-0.40495205,-0.6974036,-0.42403817,-0.891711,0.15824999,-0.6859661,0.20215169,-0.6989888,,0.10047796,-0.00014865398,-0.0033254921,-0.6354818,0.1078272,0.7645497,0.21334237,0.9761723,0.03965372,-0.7420566,0.18831009,-0.6433439,,0.20660138,1.3419893,0.5569048,0.9942004,-0.047298063,-0.096583694,-0.08006571,-0.92512405,-0.3711267,-0.071798325,0.37670738,-0.92354566,,-0.067786135,0.123857,-0.09063088,-0.55524135,0.36254218,0.748512,-0.6543779,-0.74590945,-0.12413158,0.51331925,-0.5587327,0.6513994,,-0.028906677,0.25507313,-0.31864724,0.715735,-0.14325796,-0.6835207,-0.10478194,0.94562703,-0.30791274,0.6904666,0.29200456,0.66180754,,0.937794621115705,-0.133711396984323,0.17198657204,-1.39737378338087,0.686735047821104,0.268154362306947,0.65843993058728,,-0.800252748625766,-0.423298434301994,0.23915643097,1.97297267824589,0.145107962750898,0.13879886023689,0.945598798851342,,-0.129819771424903,-0.40618175017038,0.08760750076,0.052333711583684,,1.8708408E-05,1.9073486E-06,-3.0994415E-06,1,-2.0084903E-05,-8.188188E-06,2.0092353E-05,1,-1.5795231E-06,8.188188E-06,1.5497208E-06,1
0.209049850003794,10:00:39.271254,10:00:32.288338,0,,0.1136176,-0.040007114,0.032980725,0.5912688,-0.40508598,-0.69735694,-0.42413706,-0.89164907,0.15833431,-0.6859367,0.20215684,-0.6990163,,0.100463524,-0.00019314885,-0.0033003986,-0.6348306,0.109060064,0.7649157,0.21354142,0.97619295,0.03804201,-0.74255663,0.18749142,-0.64300597,,0.20660138,1.3419893,0.5569048,0.9942004,-0.047298063,-0.096583694,-0.08006571,-0.92512405,-0.3711267,-0.071798325,0.37670738,-0.92354566,,-0.06778582,0.123858206,-0.09063619,-0.55520976,0.36267728,0.74847,-0.65445787,-0.7458505,-0.124064215,0.5132515,-0.55872375,0.65146047,,-0.02889468,0.25504595,-0.31869122,0.7151448,-0.14438543,-0.68390113,-0.104875594,0.9451913,-0.30921587,0.6910637,0.29285866,0.6608061,,0.937802343848579,-0.133811792511688,0.17198527575,-1.39737378338087,0.686735047821104,0.267664289866103,0.661053435645428,,-0.80031453048876,-0.423205761507503,0.23915772726,1.97297267824589,0.145517872250194,0.137484461644114,0.981044461202481,,-0.129819771424903,-0.40618175017038,0.08760750076,0.052333711583684,,1.8708408E-05,1.9073486E-06,-3.0994415E-06,1,-2.0084903E-05,-8.188188E-06,2.0092353E-05,1,-1.5795231E-06,8.188188E-06,1.5497208E-06,1
